Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
Cc1ccc2ccccc2c1C(=O)O,3.034,3.3,Cc1ccc2ccccc2c1C(=O)O,186.21,2.84642,37.3,1,1,1,2,0.083333,0,0,1,0,1,0,2,1,0,
Cc1cccc(C(=O)O)c1,4.272666666666667,4.05,Cc1cccc(C(=O)O)c1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1cccc(C(=O)O)c1C,3.758,3.65,Cc1cccc(C(=O)O)c1C,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1cccc(C(=O)O)c1O,2.971,3.15,Cc1cccc(C(=O)O)c1O,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1cccc(C)c1C(=O)O,3.307,3.3,Cc1cccc(C)c1C(=O)O,150.177,2.00164,37.3,1,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
Cc1cccc(O)c1C(=O)O,3.24,1.91,Cc1cccc(O)c1C(=O)O,152.149,1.39882,57.53,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
Cc1ccccc1C(=O)O,3.914,3.91,Cc1ccccc1C(=O)O,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
N#Cc1ccc(C(=O)O)c(O)c1,2.35,2.35,N#Cc1ccc(C(=O)O)c(O)c1,163.132,0.96208,81.32,3,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
N#Cc1ccc(O)c(C(=O)O)c1,2.38,2.46,N#Cc1ccc(O)c(C(=O)O)c1,163.132,0.96208,81.32,3,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
NS(=O)(=O)c1ccc(C(=O)O)cc1,3.47,3.69,NS(=O)(=O)c1ccc(C(=O)O)cc1,201.203,0.0322,97.46,3,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
NS(=O)(=O)c1cccc(C(=O)O)c1,3.54,3.8,NS(=O)(=O)c1cccc(C(=O)O)c1,201.203,0.0322,97.46,3,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc(Br)ccc1C(=O)O,4.37,3.94,Nc1cc(Br)ccc1C(=O)O,216.034,1.7295,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc(C(=O)O)c2ccccc2c1,4.39,4.22,Nc1cc(C(=O)O)c2ccccc2c1,187.198,2.1202,63.32,2,2,1,2,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,3.55,4.01,Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,182.135,0.8752,106.46,4,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc(C(=O)O)cc2ccccc12,4.46,4.38,Nc1cc(C(=O)O)cc2ccccc12,187.198,2.1202,63.32,2,2,1,2,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc(Cl)ccc1C(=O)O,4.44,3.94,Nc1cc(Cl)ccc1C(=O)O,171.583,1.6204,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc(F)ccc1C(=O)O,4.6,4.1,Nc1cc(F)ccc1C(=O)O,155.128,1.1061,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
Nc1cc([N+](=O)[O-])ccc1C(=O)O,3.7,4.0,Nc1cc([N+](=O)[O-])ccc1C(=O)O,182.135,0.8752,106.46,4,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
Nc1ccc(Br)cc1C(=O)O,4.41,3.76,Nc1ccc(Br)cc1C(=O)O,216.034,1.7295,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
