cas,smiles,canonical_smiles,pka_value
499-81-0,O=C(O)C1=CN=CC(=C1)C(=O)O,O=C(O)c1cncc(C(=O)O)c1,2.72
645-08-9,O=C(O)C1=CC=C(OC)C(O)=C1,COc1ccc(C(=O)O)cc1O,4.47
637-44-5,O=C(O)C#CC=1C=CC=CC1,O=C(O)C#Cc1ccccc1,2.23
614-19-7,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1,9.31
138-41-0,O=C(O)C1=CC=C(C=C1)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)O)cc1,3.47
2019-34-3,O=C(O)CCC1=CC=C(Cl)C=C1,O=C(O)CCc1ccc(Cl)cc1,4.66
609-99-4,O=C(O)C=1C=C(C=C(C1O)N(=O)=O)N(=O)=O,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.7
600-18-0,O=C(O)C(=O)CC,CCC(=O)C(=O)O,2.5
28954-12-3,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O,9.03
121-91-5,O=C(O)C1=CC=CC(=C1)C(=O)O,O=C(O)c1cccc(C(=O)O)c1,3.7
3235-69-6,O=C(O)CN1CCOCC1,O=C(O)CN1CCOCC1,7.53
103-01-5,O=C(O)CNC=1C=CC=CC1,O=C(O)CNc1ccccc1,4.39
455-38-9,O=C(O)C=1C=CC=C(F)C1,O=C(O)c1cccc(F)c1,3.626714285714286
1877-73-2,O=C(O)CC=1C=CC=C(C1)N(=O)=O,O=C(O)Cc1cccc([N+](=O)[O-])c1,3.97
590-93-2,O=C(O)C#CC,CC#CC(=O)O,2.603
105-43-1,O=C(O)CC(C)CC,CCC(C)CC(=O)O,4.766
118-90-1,O=C(O)C=1C=CC=CC1C,Cc1ccccc1C(=O)O,3.914
